model,method,layer,subspace_dimension,orientation_convention,orientation_reference,raw_orientation_dot,orientation_sign_flipped,artifact_path
gpt2-small,logistic_regression,2,1,negative_to_positive,toy_train_class_mean_difference,13.501625572186082,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer02.npz
gpt2-small,pca,2,1,negative_to_positive,toy_train_class_mean_difference,18.02863777639368,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer02.npz
gpt2-small,das,2,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-17.24808692932129,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer02.npz
gpt2-small,das2d,2,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-12.300308227539062,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer02.npz
gpt2-small,das3d,2,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-8.60327434539795,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer02.npz
gpt2-small,random,2,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/b1e6de78184eeb4d/layer02.npz
gpt2-small,mean_diff,3,1,negative_to_positive,toy_train_class_mean_difference,432.29326880397804,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer03.npz
gpt2-small,kmeans,3,1,negative_to_positive,toy_train_class_mean_difference,414.98175632939245,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer03.npz
gpt2-small,logistic_regression,3,1,negative_to_positive,toy_train_class_mean_difference,13.680469294924208,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer03.npz
gpt2-small,pca,3,1,negative_to_positive,toy_train_class_mean_difference,18.250197390844818,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer03.npz
gpt2-small,das,3,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-17.728086471557617,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer03.npz
gpt2-small,das2d,3,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-12.374874114990234,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer03.npz
gpt2-small,das3d,3,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-8.525618553161621,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer03.npz
gpt2-small,random,3,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/2daf12ed2896c417/layer03.npz
gpt2-small,mean_diff,4,1,negative_to_positive,toy_train_class_mean_difference,621.6316210991479,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer04.npz
gpt2-small,kmeans,4,1,negative_to_positive,toy_train_class_mean_difference,601.6908943111746,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer04.npz
gpt2-small,logistic_regression,4,1,negative_to_positive,toy_train_class_mean_difference,14.347642301938272,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer04.npz
gpt2-small,pca,4,1,negative_to_positive,toy_train_class_mean_difference,23.19919890005832,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer04.npz
gpt2-small,das,4,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-20.879295349121094,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer04.npz
gpt2-small,das2d,4,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-14.328971862792969,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer04.npz
gpt2-small,das3d,4,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-10.817062377929688,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer04.npz
gpt2-small,random,4,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/f08a02c8a7106f69/layer04.npz
gpt2-small,mean_diff,5,1,negative_to_positive,toy_train_class_mean_difference,668.0443141094144,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer05.npz
gpt2-small,kmeans,5,1,negative_to_positive,toy_train_class_mean_difference,637.4634992678131,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer05.npz
gpt2-small,logistic_regression,5,1,negative_to_positive,toy_train_class_mean_difference,14.503062212450054,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer05.npz
gpt2-small,pca,5,1,negative_to_positive,toy_train_class_mean_difference,23.72398583916627,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer05.npz
gpt2-small,das,5,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,21.505615234375,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer05.npz
gpt2-small,das2d,5,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,12.504512786865234,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer05.npz
gpt2-small,das3d,5,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,9.003640174865723,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer05.npz
gpt2-small,random,5,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/43768a26e6d30881/layer05.npz
gpt2-small,mean_diff,6,1,negative_to_positive,toy_train_class_mean_difference,848.3795321523996,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer06.npz
gpt2-small,kmeans,6,1,negative_to_positive,toy_train_class_mean_difference,848.3795321523996,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer06.npz
gpt2-small,logistic_regression,6,1,negative_to_positive,toy_train_class_mean_difference,14.926977305759573,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer06.npz
gpt2-small,pca,6,1,negative_to_positive,toy_train_class_mean_difference,27.356727400609493,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer06.npz
gpt2-small,das,6,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,24.12425994873047,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer06.npz
gpt2-small,das2d,6,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,15.564103126525879,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer06.npz
gpt2-small,das3d,6,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,10.828572273254395,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer06.npz
gpt2-small,random,6,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/512af11a31ca21f4/layer06.npz
gpt2-small,mean_diff,7,1,negative_to_positive,toy_train_class_mean_difference,1006.4472047832548,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer07.npz
gpt2-small,kmeans,7,1,negative_to_positive,toy_train_class_mean_difference,1006.4472047832546,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer07.npz
gpt2-small,logistic_regression,7,1,negative_to_positive,toy_train_class_mean_difference,15.292517222998155,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer07.npz
gpt2-small,pca,7,1,negative_to_positive,toy_train_class_mean_difference,29.82168069611871,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer07.npz
gpt2-small,das,7,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,26.504051208496094,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer07.npz
gpt2-small,das2d,7,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,16.691814422607422,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer07.npz
gpt2-small,das3d,7,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,14.092352867126465,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer07.npz
gpt2-small,random,7,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/727a10ed70245f35/layer07.npz
gpt2-small,mean_diff,8,1,negative_to_positive,toy_train_class_mean_difference,1194.2800571075913,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer08.npz
gpt2-small,kmeans,8,1,negative_to_positive,toy_train_class_mean_difference,1194.2800571075913,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer08.npz
gpt2-small,logistic_regression,8,1,negative_to_positive,toy_train_class_mean_difference,15.637098526223111,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer08.npz
gpt2-small,pca,8,1,negative_to_positive,toy_train_class_mean_difference,32.4572905745477,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer08.npz
gpt2-small,das,8,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,28.568641662597656,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer08.npz
gpt2-small,das2d,8,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,20.578075408935547,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer08.npz
gpt2-small,das3d,8,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,16.588062286376953,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer08.npz
gpt2-small,random,8,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/49b752964a6cf2ce/layer08.npz
gpt2-small,mean_diff,9,1,negative_to_positive,toy_train_class_mean_difference,1344.7564306272357,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer09.npz
gpt2-small,kmeans,9,1,negative_to_positive,toy_train_class_mean_difference,1256.412747361599,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer09.npz
gpt2-small,logistic_regression,9,1,negative_to_positive,toy_train_class_mean_difference,15.775698658498461,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer09.npz
gpt2-small,pca,9,1,negative_to_positive,toy_train_class_mean_difference,34.11876264169551,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer09.npz
gpt2-small,das,9,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,30.897809982299805,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer09.npz
gpt2-small,das2d,9,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,20.9307918548584,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer09.npz
gpt2-small,das3d,9,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,16.681720733642578,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer09.npz
gpt2-small,random,9,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/cdf4a201e265ae1f/layer09.npz
gpt2-small,mean_diff,10,1,negative_to_positive,toy_train_class_mean_difference,1581.0263415454144,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer10.npz
gpt2-small,kmeans,10,1,negative_to_positive,toy_train_class_mean_difference,1504.601539435118,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer10.npz
gpt2-small,logistic_regression,10,1,negative_to_positive,toy_train_class_mean_difference,16.020898402922228,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer10.npz
gpt2-small,pca,10,1,negative_to_positive,toy_train_class_mean_difference,36.48188134214742,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer10.npz
gpt2-small,das,10,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,33.80622482299805,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer10.npz
gpt2-small,das2d,10,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,23.119911193847656,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer10.npz
gpt2-small,das3d,10,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,18.799585342407227,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer10.npz
gpt2-small,random,10,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/cc9fe627b78a5ec4/layer10.npz
gpt2-small,mean_diff,11,1,negative_to_positive,toy_train_class_mean_difference,1843.877914365477,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer11.npz
gpt2-small,kmeans,11,1,negative_to_positive,toy_train_class_mean_difference,1760.0451761894549,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer11.npz
gpt2-small,logistic_regression,11,1,negative_to_positive,toy_train_class_mean_difference,16.326704363229748,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer11.npz
gpt2-small,pca,11,1,negative_to_positive,toy_train_class_mean_difference,38.881048484258585,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer11.npz
gpt2-small,das,11,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-34.090293884277344,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer11.npz
gpt2-small,das2d,11,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-21.537691116333008,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer11.npz
gpt2-small,das3d,11,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-16.31797981262207,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer11.npz
gpt2-small,random,11,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/c3c870701dde4f87/layer11.npz
gpt2-small,mean_diff,12,1,negative_to_positive,toy_train_class_mean_difference,2258.2549888082085,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer12.npz
gpt2-small,kmeans,12,1,negative_to_positive,toy_train_class_mean_difference,905.9197351122978,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer12.npz
gpt2-small,logistic_regression,12,1,negative_to_positive,toy_train_class_mean_difference,16.772594029726086,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer12.npz
gpt2-small,pca,12,1,negative_to_positive,toy_train_class_mean_difference,18.16458296736689,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer12.npz
gpt2-small,das,12,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,1.2536062002182007,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer12.npz
gpt2-small,das2d,12,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,1.2536063194274902,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer12.npz
gpt2-small,das3d,12,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,1.2536063194274902,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer12.npz
gpt2-small,random,12,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/557826cc77dc732c/layer12.npz
