model,method,layer,subspace_dimension,orientation_convention,orientation_reference,raw_orientation_dot,orientation_sign_flipped,artifact_path
qwen-0.6b,das,8,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,8.805671691894531,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer08.npz
qwen-0.6b,das2d,8,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,6.128173828125,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer08.npz
qwen-0.6b,das3d,8,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,5.01514196395874,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer08.npz
qwen-0.6b,random,8,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/2883635a1f7dd435/layer08.npz
qwen-0.6b,mean_diff,9,1,negative_to_positive,toy_train_class_mean_difference,155.42631149422243,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer09.npz
qwen-0.6b,kmeans,9,1,negative_to_positive,toy_train_class_mean_difference,148.85259449779284,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer09.npz
qwen-0.6b,logistic_regression,9,1,negative_to_positive,toy_train_class_mean_difference,11.74190766133805,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer09.npz
qwen-0.6b,pca,9,1,negative_to_positive,toy_train_class_mean_difference,-11.114416132905692,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer09.npz
qwen-0.6b,das,9,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,10.186134338378906,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer09.npz
qwen-0.6b,das2d,9,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,7.402937412261963,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer09.npz
qwen-0.6b,das3d,9,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,5.76295280456543,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer09.npz
qwen-0.6b,random,9,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/f88c7e45ccb119fe/layer09.npz
qwen-0.6b,mean_diff,10,1,negative_to_positive,toy_train_class_mean_difference,222.86458594132847,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer10.npz
qwen-0.6b,kmeans,10,1,negative_to_positive,toy_train_class_mean_difference,220.26144938921666,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer10.npz
qwen-0.6b,logistic_regression,10,1,negative_to_positive,toy_train_class_mean_difference,12.437549130622214,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer10.npz
qwen-0.6b,pca,10,1,negative_to_positive,toy_train_class_mean_difference,-13.850487428007549,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer10.npz
qwen-0.6b,das,10,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,11.04255199432373,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer10.npz
qwen-0.6b,das2d,10,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,8.0614013671875,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer10.npz
qwen-0.6b,das3d,10,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,6.526160717010498,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer10.npz
qwen-0.6b,random,10,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/bbacdec40eeda058/layer10.npz
qwen-0.6b,mean_diff,11,1,negative_to_positive,toy_train_class_mean_difference,270.5724890791246,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer11.npz
qwen-0.6b,kmeans,11,1,negative_to_positive,toy_train_class_mean_difference,257.2375237603284,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer11.npz
qwen-0.6b,logistic_regression,11,1,negative_to_positive,toy_train_class_mean_difference,12.786233037517832,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer11.npz
qwen-0.6b,pca,11,1,negative_to_positive,toy_train_class_mean_difference,-14.742522061612835,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer11.npz
qwen-0.6b,das,11,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,13.372737884521484,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer11.npz
qwen-0.6b,das2d,11,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,10.314719200134277,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer11.npz
qwen-0.6b,das3d,11,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,8.519026756286621,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer11.npz
qwen-0.6b,random,11,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/f52aff10f7048a13/layer11.npz
qwen-0.6b,mean_diff,12,1,negative_to_positive,toy_train_class_mean_difference,443.9598190093849,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer12.npz
qwen-0.6b,kmeans,12,1,negative_to_positive,toy_train_class_mean_difference,443.9598190093849,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer12.npz
qwen-0.6b,logistic_regression,12,1,negative_to_positive,toy_train_class_mean_difference,13.734295317712935,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer12.npz
qwen-0.6b,pca,12,1,negative_to_positive,toy_train_class_mean_difference,-19.94276845416799,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer12.npz
qwen-0.6b,das,12,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,17.29483413696289,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer12.npz
qwen-0.6b,das2d,12,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,11.371901512145996,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer12.npz
qwen-0.6b,das3d,12,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,10.717118263244629,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer12.npz
qwen-0.6b,random,12,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/b29fc00b23c621d6/layer12.npz
qwen-0.6b,mean_diff,13,1,negative_to_positive,toy_train_class_mean_difference,443.4141965999955,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer13.npz
qwen-0.6b,kmeans,13,1,negative_to_positive,toy_train_class_mean_difference,443.4141965999955,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer13.npz
qwen-0.6b,logistic_regression,13,1,negative_to_positive,toy_train_class_mean_difference,13.667859956220349,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer13.npz
qwen-0.6b,pca,13,1,negative_to_positive,toy_train_class_mean_difference,-19.888271756487235,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer13.npz
qwen-0.6b,das,13,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,14.961627960205078,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer13.npz
qwen-0.6b,das2d,13,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,11.144645690917969,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer13.npz
qwen-0.6b,das3d,13,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,9.707100868225098,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer13.npz
qwen-0.6b,random,13,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/6545b3aa1f93e2fe/layer13.npz
qwen-0.6b,mean_diff,14,1,negative_to_positive,toy_train_class_mean_difference,508.95963953267466,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer14.npz
qwen-0.6b,kmeans,14,1,negative_to_positive,toy_train_class_mean_difference,508.9596395326746,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer14.npz
qwen-0.6b,logistic_regression,14,1,negative_to_positive,toy_train_class_mean_difference,13.91604055880602,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer14.npz
qwen-0.6b,pca,14,1,negative_to_positive,toy_train_class_mean_difference,-21.629040985406526,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer14.npz
qwen-0.6b,das,14,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,16.64082908630371,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer14.npz
qwen-0.6b,das2d,14,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,11.802230834960938,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer14.npz
qwen-0.6b,das3d,14,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,10.171172142028809,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer14.npz
qwen-0.6b,random,14,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/6c2f0addc55bfa4e/layer14.npz
qwen-0.6b,mean_diff,15,1,negative_to_positive,toy_train_class_mean_difference,508.38100422785624,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer15.npz
qwen-0.6b,kmeans,15,1,negative_to_positive,toy_train_class_mean_difference,496.1597066928608,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer15.npz
qwen-0.6b,logistic_regression,15,1,negative_to_positive,toy_train_class_mean_difference,13.917777813606472,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer15.npz
